,user_id,name,username,location,number_tweet,number_following,number_follower,avatar_url
281,1196941166,Hà Phạm,Virmise,Hà Nội,64,76,20,https://pbs.twimg.com/profile_images/997693478996856832/Fd6PGeMt_400x400.jpg
282,1028306860921651206,chichichic,huonggiangbt1,,28,19,5,https://pbs.twimg.com/profile_images/1056629825803186176/HyyCGJh4_400x400.jpg
283,1238550694170263552,Viss,Hi07149613,"Hà Nội, Việt Nam",20,277,5,https://pbs.twimg.com/profile_images/1239815237559152641/3tPezrj4_400x400.jpg
284,1217649738670952449,tintuctimviec,tintuctimviec,Ha Noi,794,0,4,https://pbs.twimg.com/profile_images/1217650343623790594/_4gltYVP_400x400.jpg
285,14854673,anh 🦄 🌈,tuananh_org,"Hanoi, Vietnam",9208,1101,451,https://pbs.twimg.com/profile_images/1235175379607797765/2Iu9l2Om_400x400.jpg
286,36897363,Quoc Hung,hungpq,Hà nội,64,104,44,https://pbs.twimg.com/profile_images/1187949597735342080/pVCqA7ay_400x400.jpg
287,1238094844746035202,Goaw,goawsell,"Hanoi, Vietnam",68,28,1,https://pbs.twimg.com/profile_images/1238097225017769985/hQJ0AKu3_400x400.jpg
288,1004498786,Phạm Hoàng Văn,vanlacquer72,Hà Nội ,1,2,0,https://pbs.twimg.com/profile_images/1239760325869588480/lEsONNaF_400x400.jpg
289,1227773411880865792,NghiHoang,NghiHoang12,"Hà Nội,Vietnam",16,0,0,https://pbs.twimg.com/profile_images/1239587904822710272/jbw5mNTS_400x400.jpg
290,238072457,Exotic Voyages Travel,exoticvoyages,,3018,3495,3534,https://pbs.twimg.com/profile_images/1116187357961605121/M_YRj4gG_400x400.png
291,279652959,Share to Learn .net,sharetolearnnet,Ha Noi,246,31,19,https://pbs.twimg.com/profile_images/640965362675089408/8ZomqHD0_400x400.jpg
