,user_id,tweet_id,content,date,like_count,retweet_count,replie_count,image_url,link,place
297,1066240222516498432,1241251092832239616,"A human rights approach to #Covid_19 is paramount to the world surviving this pandemic. Thank you @UNAIDS for these essential, humane guidelines on how countries should be responding. @EamonnMurphy63 @mylittlebaklava https://twitter.com/unaids/status/1241055724219895808 …",2020-03-21,34,17,1,,https://twitter.com/KimberlyEGreen/status/1241251092832239616,Hà Nội
298,3138340484,1241240599614775302,"El Washington Post politiza la acción del gobierno venezolano ante la pandemia causada por el Covid-19, denuncia el Presidente Nicolás Maduro

#LaSolidaridadVenceAlCoronavirus https://bit.ly/3abnn2v ",2020-03-21,2,3,0,,https://twitter.com/VietnamVzla/status/1241240599614775302,Hà Nội
299,3138340484,1241238160052383747,"Venezuela ha establecido la cuarentena colectiva como estrategia para frenar la propagación del Covid-19

#LaSolidaridadVenceAlCoronavirus https://bit.ly/2WuKIIm ",2020-03-21,0,3,0,,https://twitter.com/VietnamVzla/status/1241238160052383747,Hà Nội
300,962891449594298368,1241229734685618176,Bank of America: Hạ dự báo giá tất cả các kim loại quý vì Covid-19  https://giavang.net/bank-of-america-ha-du-bao-gia-tat-ca-cac-kim-loai-quy-vi-covid-19/ …,2020-03-21,0,0,0,,https://twitter.com/GiavangN/status/1241229734685618176,Hà Nội
301,1136927833240903682,1241219337551319046,Video mới đã tải lên: MC Pharma - Tặng miễn phí Gel/ Xịt kháng khuẩn cá nhân chống dịch Covid-19  https://youtu.be/q4-YARq80oc ,2020-03-21,0,0,0,,https://twitter.com/daominhchaucom/status/1241219337551319046,Hà Nội
302,1227434905002561538,1241214526919491584,Watching the #digitaldragshow and knowing that #covid_19 couldn't keep drag down 🔥 pic.twitter.com/nrYRLPS4Sv,2020-03-21,0,0,0,https://pbs.twimg.com/media/ETmuBhWU0AEiLIC.jpg,https://twitter.com/vvonhex/status/1241214526919491584,Hà Nội
303,742177082,1241211884772048896,"Video conference EU & ASEAN on to discuss the Coronavirus Disease 2019 (COVID-19). HRVP Josep Borrell said we must all work together to mitigate the social and economic impact on our regions, keep supply chains open and advance relevant scientific research.  pic.twitter.com/i8oCGbv3Hx",2020-03-21,5,2,0,"https://pbs.twimg.com/media/ETmroHhUcAAgEfP.jpg', 'https://pbs.twimg.com/media/ETmroHfUcAEFKk1.jpg",https://twitter.com/EUDelegationVN/status/1241211884772048896,Hà Nội
304,2439868644,1241202492882456577,NSND Trung Anh mong mỏi nhắn con trai “Về nhà đi con” giữa dịch Covid-19  http://daynoimi.blogspot.com/2020/03/nsnd-trung-anh-mong-moi-nhan-con-trai.html … pic.twitter.com/MOzvl8BRAl,2020-03-21,0,0,0,https://pbs.twimg.com/media/ETmjFv7XkAEYm11.jpg,https://twitter.com/daynoimi/status/1241202492882456577,Hà Nội
305,1194500136967127041,1241197443787546624,I just published Phòng tránh dịch covid-19 tại trường học bằng cách sử dụng chậu rửa tay học sinh  https://link.medium.com/e14G1KaB14 ,2020-03-21,0,0,0,,https://twitter.com/InoxTho/status/1241197443787546624,Hà Nội
306,2439868644,1241194957190422529,Chi Pu tặng phòng cách ly áp lực âm 650 triệu đồng chống dịch Covid-19  http://daynoimi.blogspot.com/2020/03/chi-pu-tang-phong-cach-ly-ap-luc-am-650.html … pic.twitter.com/FoMpKM5KMA,2020-03-21,0,0,0,https://pbs.twimg.com/media/ETmcPHuXkAAcgNw.jpg,https://twitter.com/daynoimi/status/1241194957190422529,Hà Nội
307,2836130972,1241192195174080512,Covid-19: BTV thời sự Thu Hà hài hước than bị chồng 'mắng'  https://ift.tt/2UumD1I  pic.twitter.com/dT9lT8QKVJ,2020-03-21,0,0,0,https://pbs.twimg.com/media/ETmZuXcWkAAJMBi.jpg,https://twitter.com/thuockichduc/status/1241192195174080512,Hà Nội
