,hashtag,user_id,tweet_id,location
398,#law,3195193711,1240495959898902530,hanoi
399,#lawyers,3195193711,1240495959898902530,hanoi
400,#lawfirm,3195193711,1240495959898902530,hanoi
401,#debt,3195193711,1240495959898902530,hanoi
402,#debtlawfirm,3195193711,1240495959898902530,hanoi
403,#debtlawyers,3195193711,1240495959898902530,hanoi
404,#vietnam,3195193711,1240495959898902530,hanoi
405,#covid19,3195193711,1240495959898902530,hanoi
406,#law,752413453181038593,1240495837605584897,hanoi
407,#lawyers,752413453181038593,1240495837605584897,hanoi
408,#lawfirm,752413453181038593,1240495837605584897,hanoi
409,#debt,752413453181038593,1240495837605584897,hanoi
410,#debtlawfirm,752413453181038593,1240495837605584897,hanoi
411,#debtlawyers,752413453181038593,1240495837605584897,hanoi
412,#vietnam,752413453181038593,1240495837605584897,hanoi
413,#covid19,752413453181038593,1240495837605584897,hanoi
414,#us,1063734956923400192,1240493197161140224,hanoi
415,#hcmc,1063734956923400192,1240493197161140224,hanoi
416,#visa,1063734956923400192,1240493197161140224,hanoi
417,#interviews,1063734956923400192,1240493197161140224,hanoi
418,#covid,1063734956923400192,1240493197161140224,hanoi
419,#vietnam,1063734956923400192,1240492032822398984,hanoi
420,#coronavirus,1063734956923400192,1240492032822398984,hanoi
421,#doctors,1063734956923400192,1240492032822398984,hanoi
422,#nurses,1063734956923400192,1240492032822398984,hanoi
423,#covid,1063734956923400192,1240492032822398984,hanoi
424,#covid_19,2838659616,1240491270247571457,hanoi
425,#ndel,1133200254893903873,1240482613984280576,hanoi
426,#nhandanenligne,1133200254893903873,1240482613984280576,hanoi
427,#ndel,1133200254893903873,1240482079281831936,hanoi
428,#nhandanenligne,1133200254893903873,1240482079281831936,hanoi
429,#covid19,2344242013,1240459711524241408,hanoi
430,#coronavirus,2344242013,1240459711524241408,hanoi
431,#coronaasia,2344242013,1240459711524241408,hanoi
432,#coronavietnam,2344242013,1240459711524241408,hanoi
433,#travelaware,22898078,1240452047880589313,hanoi
434,#vietnam,22898078,1240452047880589313,hanoi
435,#coronavirus,22898078,1240452047880589313,hanoi
436,#covid_19,22898078,1240452047880589313,hanoi
437,#vspt,743078759687802881,1240450374751797249,hanoi
438,#hislearns,833137031169478656,1240440650631270400,hanoi
439,#ibpyp,833137031169478656,1240440650631270400,hanoi
440,#pypchat,833137031169478656,1240440650631270400,hanoi
441,#virtualpypx,833137031169478656,1240440650631270400,hanoi
442,#pypx2020,833137031169478656,1240440650631270400,hanoi
443,#betbong365,1118335609062318082,1240437675406118913,hanoi
444,#betbong365,1118335609062318082,1240437673384456198,hanoi
445,#corvid19,1169272875783577600,1240309913751937024,hanoi
446,#vietnamquyetthangdaidich,1169272875783577600,1240309913751937024,hanoi
447,#vietnamleavesnoonebehind,1169272875783577600,1240309913751937024,hanoi
448,#photography,1231257672990642176,1240298827296333824,hanoi
449,#photooftheday,1231257672990642176,1240298827296333824,hanoi
450,#spring,1231257672990642176,1240298827296333824,hanoi
451,#coronavirus,1231257672990642176,1240298827296333824,hanoi
452,#vietnam,917574143813459968,1240295870408482816,hanoi
453,#covid19,917574143813459968,1240295870408482816,hanoi
454,#coronavirus,917574143813459968,1240295870408482816,hanoi
455,#ncov,917574143813459968,1240295870408482816,hanoi
456,#airlines,917574143813459968,1240295870408482816,hanoi
457,#covid_19,1122879938707636224,1240262054516150272,hanoi
458,#daigiang,1108927646363062272,1240261456945266689,hanoi
459,#dgpme,3356622492,1240250828029489153,hanoi
460,#coronaviruschallenge,1128492254325137408,1240230321854894080,hanoi
461,#coronavirus,1128492254325137408,1240230321854894080,hanoi
462,#wuhancoronavius,1128492254325137408,1240230321854894080,hanoi
463,#coronaviruschallenge,1128492254325137408,1240229260138176512,hanoi
464,#on13thwin,852768148864380928,1240220478263799808,hanoi
465,#lucky,1233957451960971264,1240211371284783104,hanoi
466,#covid,1233957451960971264,1240211371284783104,hanoi
467,#law,752413453181038593,1240196359254237191,hanoi
468,#lawyers,752413453181038593,1240196359254237191,hanoi
469,#lawfirminvietnam,752413453181038593,1240196359254237191,hanoi
470,#shipping,752413453181038593,1240196359254237191,hanoi
471,#exportpermit,752413453181038593,1240196359254237191,hanoi
472,#medicalmasks,752413453181038593,1240196359254237191,hanoi
473,#vietnam,752413453181038593,1240196359254237191,hanoi
474,#covid19,752413453181038593,1240196359254237191,hanoi
475,#law,3195193711,1240196268934103040,hanoi
476,#lawyers,3195193711,1240196268934103040,hanoi
477,#lawfirminvietnam,3195193711,1240196268934103040,hanoi
478,#shipping,3195193711,1240196268934103040,hanoi
479,#exportpermit,3195193711,1240196268934103040,hanoi
480,#medicalmasks,3195193711,1240196268934103040,hanoi
481,#vietnam,3195193711,1240196268934103040,hanoi
482,#covid19,3195193711,1240196268934103040,hanoi
483,#covid,758779304,1240147689553133571,hanoi
484,#condotel,758779304,1240147689553133571,hanoi
485,#hotel,758779304,1240147689553133571,hanoi
486,#ndel,1133200254893903873,1240140075582795778,hanoi
487,#nhandanenligne,1133200254893903873,1240140075582795778,hanoi
488,#bloombergquint,1083598662893154304,1240137330867998721,hanoi
489,#worldometers,1083598662893154304,1240137330867998721,hanoi
490,#covid_19,1083598662893154304,1240137330867998721,hanoi
491,#pasteur,1063734956923400192,1240133566199103490,hanoi
492,#nhatrang,1063734956923400192,1240133566199103490,hanoi
493,#british,1063734956923400192,1240133566199103490,hanoi
494,#covid,1063734956923400192,1240133566199103490,hanoi
495,#prescribed,1063734956923400192,1240133566199103490,hanoi
496,#hanoi,1063734956923400192,1240131915929325569,hanoi
497,#medical,1063734956923400192,1240131915929325569,hanoi
498,#covid,1063734956923400192,1240131915929325569,hanoi
499,#coronavirus,838972100237004801,1240125672179273729,hanoi
500,#covid19,860761120637722628,1240124493592436741,hanoi
501,#handwashchallenge,860761120637722628,1240124493592436741,hanoi
502,#coronavirus,2378525664,1240118817772261376,hanoi
503,#covid19,2378525664,1240118817772261376,hanoi
504,#scicomm,2378525664,1240118817772261376,hanoi
505,#vietnamquyetthangdaidich,2378525664,1240118817772261376,hanoi
506,#vietnam,2378525664,1240118817772261376,hanoi
507,#realisticasia,2423525376,1240118530495909888,hanoi
508,#news,2423525376,1240118530495909888,hanoi
509,#becausewecare,2423525376,1240118530495909888,hanoi
510,#covid19,2423525376,1240118530495909888,hanoi
511,#chinavirus,2365540681,1240112036270362624,hanoi
512,#covid2019,2365540681,1240112036270362624,hanoi
513,#covid_19,1239214469596631041,1240095852019904512,hanoi
514,#theprinthealth,1202401769457741824,1240090695798525959,hanoi
515,#betbong365,1118335609062318082,1240089572119392256,hanoi
516,#travelaware,22898078,1240075796489719808,hanoi
517,#vietnam,22898078,1240075796489719808,hanoi
518,#coronavirus,22898078,1240075796489719808,hanoi
519,#covid_19,22898078,1240075796489719808,hanoi
520,#covid,2306087533,1239954153381572611,hanoi
521,#fitchsolutions,917574143813459968,1239933371980976131,hanoi
522,#vietnam,917574143813459968,1239933371980976131,hanoi
523,#covid19,917574143813459968,1239933371980976131,hanoi
524,#coronavirus,917574143813459968,1239933371980976131,hanoi
525,#ncov,917574143813459968,1239933371980976131,hanoi
526,#centralbank,917574143813459968,1239933371980976131,hanoi
527,#sbv,917574143813459968,1239933371980976131,hanoi
528,#covid,758779304,1239911667317608457,hanoi
529,#vietnam,758779304,1239911667317608457,hanoi
530,#hotelnews,758779304,1239911667317608457,hanoi
531,#covid,711923180496035840,1239900578018258945,hanoi
532,#vietnam,711923180496035840,1239900578018258945,hanoi
533,#geometrydash,864460323075481602,1239900121204219904,hanoi
534,#geometrydashlite,864460323075481602,1239900121204219904,hanoi
535,#geometrydash,864460323075481602,1239898997592129538,hanoi
536,#geometrydashlite,864460323075481602,1239898997592129538,hanoi
537,#tiểuthuyếtkểlể,35733462,1239895347951882241,hanoi
538,#tuhaolanguoivietnam,794170533411553280,1239852373322784768,hanoi
539,#covid,794170533411553280,1239852373322784768,hanoi
540,#chinavirus,794170533411553280,1239852373322784768,hanoi
541,#covid2019,794170533411553280,1239852373322784768,hanoi
542,#covid,1239576622564388865,1239850872185556993,hanoi
543,#covid_19,2601381283,1239847395174699009,hanoi
544,#covid_19,2601381283,1239844792739090432,hanoi
545,#covid19,2601381283,1239844740297666560,hanoi
546,#sinhvienyduoc,2601381283,1239844740297666560,hanoi
547,#truongcaodangyduocpasteur,2601381283,1239844740297666560,hanoi
548,#vietnam,917574143813459968,1239816514531774465,hanoi
549,#projectsyndicate,917574143813459968,1239816514531774465,hanoi
550,#covid19,917574143813459968,1239816514531774465,hanoi
551,#coronavirus,917574143813459968,1239816514531774465,hanoi
552,#ncov,917574143813459968,1239816514531774465,hanoi
553,#taiwan,917574143813459968,1239816514531774465,hanoi
554,#who,917574143813459968,1239816514531774465,hanoi
555,#covid,36897363,1239803501909127168,hanoi
556,#japanesesenery,1238094844746035202,1239768030449524737,hanoi
557,#tokyo,1238094844746035202,1239768030449524737,hanoi
558,#guíadelviajero,3356622492,1239753512503795712,hanoi
559,#cắmtrại,1227773411880865792,1239743227814531072,hanoi
560,#sócsơn,1227773411880865792,1239743227814531072,hanoi
561,#betbong365,1118335609062318082,1239742339033243648,hanoi
562,#covid19,2344242013,1239741784965726218,hanoi
563,#coronavirus,2344242013,1239741784965726218,hanoi
564,#vietnam,2344242013,1239741784965726218,hanoi
565,#coronavirus,238072457,1239738690852646912,hanoi
566,#southeastasia,238072457,1239738690852646912,hanoi
567,#phuquoc,1063734956923400192,1239730114784448512,hanoi
568,#latvian,1063734956923400192,1239730114784448512,hanoi
569,#tests,1063734956923400192,1239730114784448512,hanoi
570,#covid,1063734956923400192,1239730114784448512,hanoi
571,#travelaware,22898078,1239727337303769089,hanoi
572,#vietnam,22898078,1239727337303769089,hanoi
573,#coronavirus,22898078,1239727337303769089,hanoi
574,#covid_19,22898078,1239727337303769089,hanoi
575,#ศาสตร์เกษตรดินปุ๋ย,877065518066221060,1239719396156768257,hanoi
576,#ศาสตร์เกษตรดินปุ๋ย,877065518066221060,1239719396156768257,hanoi
577,#vietnam,396271636,1239683875044880384,hanoi
