,keyword,location,user_id
0,covid,hanoi,1137688540475584512
1,covid,vietnam,1137688540475584512
2,covid,danang,1099450872784797696
3,covid,vietnam,1099450872784797696
4,covid,vietnam,45867144
5,covid,hanoi,1166436232919842816
6,covid,california,41752968
7,covid,usa,41752968
8,covid,vietnam,3286226774
9,covid,hanoi,1232698989205549056
10,covid,vietnam,1232698989205549056
11,covid,u,1186644885111279618
12,covid,hochiminhcity,3106048519
13,covid,vietnam,3106048519
14,covid,hanoi,1170335886652801025
15,covid,browndeer,2709865597
16,covid,wi,2709865597
17,covid,hanoi,1231791268469989376
18,covid,washington,282108981
19,covid,dc,282108981
20,covid,quinhon,942240917771059200
21,covid,binhdinh,942240917771059200
22,covid,vietnam,942240917771059200
23,covid,cchado,1248555513207386113
24,covid,b.orchid1,1248555513207386113
25,covid,q10tphcm,1248555513207386113
26,covid,6khuchao,3263023104
27,covid,hanoi,3263023104
28,covid,vietnam,3263023104
29,covid,hanquoc,1243371932780642305
30,covid,vietnam,1236567707673214976
31,covid,vietnam,585572385
32,covid,tp.hochiminh,1948703270
33,covid,vietnam,1948703270
34,covid,hanoi,2158122848
35,covid,dhaka,1203379772358717440
36,covid,bangladesh,1203379772358717440
37,covid,hanoi,2439868644
38,covid,india,4256431574
39,covid,molandoentwittershire,825817838833254401
40,covid,hanoi,703074853
41,covid,vietnam,299466420
42,covid,hanoivietnam,1169680803116138497
43,covid,vietnam,1157793381210181632
44,covid,lic,3304524289
45,covid,thuathienhue,1237762969007611905
46,covid,vietnam,1237762969007611905
47,covid,sub,142010546
48,covid,saharanafrica,142010546
49,covid,vietnam,1224594183769341958
50,covid,vietnam,1158309150
51,covid,95lynamde,1218720511254908928
52,covid,hoankiem,1218720511254908928
53,covid,thanhphohochiminh,1242816562614198273
54,covid,thaydoichotuonglaixanh!,877866931
55,covid,hanoi,958737088937041920
56,covid,vietnam,958737088937041920
57,covid,beijing,893695809346076672
58,covid,vietnam,1217434028468396033
59,covid,tp.hcm,1232615462241886208
60,covid,santaana,85952089
61,covid,california,85952089
62,covid,vietnam,258213307
63,covid,bacsiyhoccotruyen,1247093307684970496
64,covid,hanoi,951053290476773376
65,covid,vietnam,951053290476773376
66,covid,hanoi,23040987
67,covid,vietnam,963704242316877824
68,covid,vietnam,1470817758
69,covid,vietnam,1215643883213746176
70,covid,lagos,1069571112504344576
71,covid,nigeria,1069571112504344576
72,covid,hospet,1243596934335680515
73,covid,india,1243596934335680515
74,covid,hycuong,1103466379871641600
75,covid,thanhphoviettri,1103466379871641600
76,covid,phutho,1103466379871641600
77,covid,vietnam,1103466379871641600
78,covid,dienminh,2564897306
79,covid,dienban,2564897306
80,covid,quangnam,2564897306
81,covid,http://www.luatsuphaply.com.vn,2339943283
82,covid,hochiminhcity,1232980702313897984
83,covid,vietnam,960851779930939392
84,covid,19anguyenvanbua,1102858637918134274
85,covid,xaxuanthoison,1102858637918134274
86,covid,hocmon,1102858637918134274
87,covid,tphcm,1102858637918134274
88,covid,binhphuocvietnam,1199985315701608449
89,covid,197huynhtanphat,1064736092270673920
90,covid,phuongtanthuandong,1064736092270673920
91,covid,quan7,1064736092270673920
92,covid,thanhphohochiminh,1064736092270673920
93,covid,vietnam,1963984814
94,covid,hochiminh,1963984814
95,covid,binhthanh,1963984814
96,covid,14nguyenthienke,1203902163300143104
97,covid,danang,1203902163300143104
98,covid,kyoto,102679637
99,covid,thuathienhue,1207250314761424897
100,covid,vietnam,1207250314761424897
101,covid,toronto,68137413
102,covid,ontario,68137413
103,covid,canada,68137413
104,covid,danphuong,1249025567963271168
105,covid,hanoi,1249025567963271168
106,covid,binhduong,1111382994764259328
107,covid,vietnam,1111382994764259328
108,covid,ninhbinh,1202143895938723845
109,covid,vietnam,1202143895938723845
110,covid,hanoi,2836130972
111,covid,vietnam,1236846034401124357
112,covid,riograndedosul,1623373254
113,covid,hcmcity,14863205
114,covid,vietnamese,293400206
115,covid,texas,818505610694131713
116,covid,vietnam,976364467167440896
117,covid,vietnam,2512641504
118,covid,hanoivietnamhanoi,1156211790981713922
119,covid,vietnam,1156211790981713922
120,covid,washingtondc,80298155
121,covid,lagos,1248218506094694402
122,covid,tehran,1248143462299570182
123,covid,pakistan,145146764
124,covid,huntingtonbeach,936062444899729408
125,covid,ca,936062444899729408
126,covid,hanoi,1886830375
127,covid,philippines,1205829571146158081
128,covid,Zhong Guo Bei Jing Shi Zhao Yang Qu Hong Miao Bei Li ,116148047
129,covid,praethsaithy,153021937
130,covid,vietnam,1245346585371787265
131,covid,hanoi,1246719592317087744
132,covid,vietnam,1246719592317087744
133,covid,vietnam,257942307
134,covid,27/07/2017,808268774625411072
135,covid,facebook.com/onlinethethao,1277598097
136,covid,markets,317779614
137,covid,smtown,1453167553
138,covid,"107cogiang,q1,hcm",1223115230491725826
139,covid,vietnam,915907898298966017
140,covid,vietnam,1149836066884485120
141,covid,hochiminh,1415095801
142,covid,vietnam,1415095801
143,covid,hochiminh,1247770193738129408
144,covid,lovemaze,996286329427120128
145,covid,vietnam,2267363214
146,covid,danang,1241297501707067393
147,covid,vietnam,1241297501707067393
148,covid,bangladash,714854950241742848
149,covid,hoonseyes,996434648166092801
150,covid,micasa,1069067278828728322
151,covid,hochiminh,952782746622963713
152,covid,vietnam,952782746622963713
153,covid,vietnam,965130969442234368
154,covid,hcmc,19137344
155,covid,vietnam,19137344
156,covid,hochiminh,1239809238613946368
157,covid,vietnam,1245930669961646081
158,covid,hanoi,2601381283
159,covid,vietnam,1161189105398476800
160,covid,paris,47930576
161,covid,vn,422431746
162,covid,hanoi,1172578082919575553
163,covid,saigon,93329909
164,covid,vietnam,93329909
165,covid,scotland,55635996
166,covid,edinburgh,55635996
167,covid,vandon,1240623448310734848
168,covid,srilanka,159318906
169,covid,quanthanhxuan,1210052815021674496
170,covid,tp.hanoi,1210052815021674496
171,covid,danang,1241062050681384960
172,covid,vietnam,1241062050681384960
173,covid,hanoi,934612080
174,covid,sialkot,1890541950
175,covid,pakistan,1890541950
176,covid,Ri Ben ,1051113128476336128
177,covid,hanoi,1107619792226127873
178,covid,vietnam,1107619792226127873
179,covid,hanoi,1137976463943069696
180,covid,vietnam,1137976463943069696
181,covid,halong,278373045
182,covid,arlingtontexas,2369122598
183,covid,brazil,239465044
184,covid,tp.hcm,357352131
185,covid,vietnam,2267379260
186,covid,indentityv,1141353280200536065
187,covid,sanjose,1450509368
188,covid,california,1450509368
189,covid,bangkok,73434020
190,covid,namdinh,1229941574764646400
191,covid,vietnam,713207825153929217
192,covid,vietnam,229359825
193,covid,672a29phanvantri,1191986689402535936
194,covid,p.10,1191986689402535936
195,covid,govap,943608985
196,covid,canada&vietnam,852180086359040001
197,covid,baria,406165766
198,covid,"vungtau,vietnam",406165766
199,covid,19anguyenvanbua,977715129088225280
200,covid,xaxuanthoison,977715129088225280
201,covid,hocmon,977715129088225280
202,covid,hochiminh,977715129088225280
203,covid,hanoi,1045507979804430338
204,covid,vietnam,1045507979804430338
205,covid,66luuchihieu,1205747953714876416
206,covid,tanphu,1205747953714876416
207,covid,taiwuan,1228654453756088320
208,covid,massachusetts,1035535482455814149
209,covid,usastoneham,1035535482455814149
210,covid,vietnam,970486570988969985
211,covid,worldwide,231605252
212,covid,61metrithuong,1238279307589382149
213,covid,metri,1238279307589382149
214,covid,nam,1238279307589382149
215,covid,mytho,993496489241423872
216,covid,364dienbienphu,1190107704586469376
217,covid,binhthanh,1190107704586469376
218,covid,so175tonducthang,1237928948064899073
219,covid,lamson,1237928948064899073
220,covid,,1237928948064899073
221,covid,vietnam,730289276
222,covid,hochiminhcity,1241961551747100673
223,covid,nebraska,1238585297476235269
224,covid,usa,1238585297476235269
225,covid,61metrithuong,1083238423316426752
226,covid,phuongmetr,1083238423316426752
227,covid,vietnam,1169472671333007360
228,covid,benghazilibya,1219260469694935041
229,covid,seattle,2788161384
230,covid,wa,2788161384
231,covid,Chong Nawa (Shou Li )xJing Du (Luo Bei )xDe Dao San Hao Shi (Fu Zu noDi )japan,1160705917664423937
232,covid,hereticafilosofia,756740607981289472
233,covid,ibadan,234063095
234,covid,nigeria,234063095
235,covid,vietnam,2593653362
236,covid,target,1247260494236454912
237,covid,singapore,773490905617539072
238,covid,singapore,1149344463799476225
239,covid,https://anhdep24.net,4865176333
240,covid,argentina,1242587569
241,covid,vietnam,276088297
242,covid,313/23notranglong,1193711940226318336
243,covid,phuong7,1193711940226318336
244,covid,binhthanh,1193711940226318336
245,covid,hochiminh,1193711940226318336
246,covid,hochiminh,227535245
247,covid,vietnam,227535245
248,covid,tp.hochiminh,1235152526384582656
249,covid,vietnam,1235152526384582656
250,covid,vietnam,1053689361886150656
251,covid,vietnam,1231579668735639553
252,covid,hanoi,807403478981033985
253,covid,vietnam,807403478981033985
254,covid,39nguyendu,1109282401694281728
255,covid,camphucbac,1109282401694281728
256,covid,camranh,1109282401694281728
257,covid,khanhhoa,1109282401694281728
258,covid,vietnam,1109282401694281728
259,covid,thailand(learnthai-),1246247124079165441
260,covid,Yoontopia,598256611
261,covid,hanoi,122417693
262,covid,"95hoangvanthai,khuongtrung,thanhxuan,hanoi,vietnam",1102387469012525056
263,covid,tokyo,742281384551579648
264,covid,"to,japan",742281384551579648
265,covid,60vutung,1161336294053539840
266,covid,p2,1161336294053539840
267,covid,q.binhthanh,1161336294053539840
268,covid,vietnam,1226392704038232064
269,covid,vietnam,2561641080
270,covid,tphcm,1726347025
271,covid,hochiminh,2372295558
272,covid,tphcm,1903666314
273,covid,tphcm,1655659188
274,covid,tphcm,1904644591
275,covid,tphcm,1941438654
276,covid,hochiminh,723774198
277,covid,hochiminh,2153313264
278,covid,hochiminh,2723358816
279,covid,vietnam,2723358816
280,covid,hochiminh,1466903438
281,covid,hochiminh,2227941294
282,covid,vietnam,2227941294
283,covid,ninhthuan,2166379398
284,covid,tphcm,1696938416
285,covid,hochiminh,1866937334
286,covid,hochiminh,1469963149
287,covid,thailand,1219991743573053445
288,covid,hochiminh,1083755055948300288
289,covid,vietnam,1083755055948300288
290,covid,tomball,1428853099
291,covid,tx,1428853099
292,covid,dhammakaya,82311453
293,covid,thailand,82311453
294,covid,thuduc,571083174
295,covid,tp.hcm,571083174
296,covid,vietnam,571083174
297,covid,thailand,1123806644801032198
298,covid,vietnam,1209738936727113729
299,covid,|Lin Shi homupezihakochira,931702880070807558
300,covid,hanoi,2931718514
301,covid,vietnam,2931718514
302,covid,hanoi,962891449594298368
303,covid,vietnam,962891449594298368
304,covid,vietnam,1203923053651955712
305,covid,thuduc,1204947758936772608
306,covid,tp.hochiminh,1204947758936772608
307,covid,pakistankarachi,4856347403
308,covid,hochiminh,760044605404348416
309,covid,vietnam,760044605404348416
310,covid,vietnam,1259743086
311,covid,hochiminh,1248523942752448512
312,covid,hanoi,1132531035713839104
313,covid,vietnam,1132531035713839104
314,covid,tang8,984648035031441408
315,covid,toanhasailing,984648035031441408
316,covid,111a,984648035031441408
317,covid,tp,984648035031441408
318,covid,pasteur,984648035031441408
319,covid,bennghe,984648035031441408
320,covid,quan1,984648035031441408
321,covid,hochiminh,984648035031441408
322,covid,hochiminh,780923910
323,covid,seoul,39976190
324,covid,southkorea,39976190
325,covid,d2giangvo,945204067369869313
326,covid,hanoi,945204067369869313
327,covid,vietnam,1247361792356937729
328,covid,hidoongies'utopia,1110774800
